Exam Name,Conducting Body,Level,Important Date,Application Link,Official Website,Description,Stream
NEET UG,National Testing Agency (NTA),Undergraduate,Feb–May,https://neet.nta.nic.in,https://neet.nta.nic.in,"National exam for MBBS, BDS, AYUSH and medical courses",Medical
JEE Main,National Testing Agency,Undergraduate,Jan & Apr,https://jeemain.nta.nic.in,https://jeemain.nta.nic.in,National entrance exam for engineering colleges,Engineering
JEE Advanced,IIT Council,Undergraduate,May–Jun,https://jeeadv.ac.in,https://jeeadv.ac.in,Admission to IIT engineering programs,Engineering
CUET UG,National Testing Agency,Undergraduate,Feb–May,https://cuet.samarth.ac.in,https://cuet.samarth.ac.in,Common entrance exam for central universities,General / Multiple Courses
CLAT,Consortium of NLUs,Undergraduate,Aug–Dec,https://consortiumofnlus.ac.in,https://consortiumofnlus.ac.in,Law entrance exam for National Law Universities,Law
AILET,NLU Delhi,Undergraduate,Aug–Dec,https://nationallawuniversitydelhi.in,https://nationallawuniversitydelhi.in,Law entrance exam for NLU Delhi,Law
NATA,Council of Architecture,Undergraduate,Apr–Jul,https://nata.in,https://nata.in,Architecture entrance exam,Architecture
NIFT Entrance Exam,National Institute of Fashion Technology,Undergraduate,Dec–Feb,https://nift.ac.in,https://nift.ac.in,Fashion design entrance exam,Fashion & Design
NID DAT,National Institute of Design,Undergraduate,Oct–Jan,https://nid.edu,https://nid.edu,Design aptitude test,Design
UCEED,IIT Bombay,Undergraduate,Oct–Jan,https://uceed.iitb.ac.in,https://uceed.iitb.ac.in,Design exam for IITs,Design
IISER Aptitude Test,IISER Council,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Admission to IISER science programs,Science
NEST,NISER & UM-DAE CEBS,Undergraduate,Mar–Jun,https://nestexam.in,https://nestexam.in,Science entrance exam for NISER,Science
ICAR AIEEA,National Testing Agency,Undergraduate,Apr–Jun,https://icar.nta.nic.in,https://icar.nta.nic.in,Agriculture entrance exam,Agriculture
NCHM JEE,National Testing Agency,Undergraduate,Feb–May,https://nchmjee.nta.nic.in,https://nchmjee.nta.nic.in,Hotel management entrance exam,Hotel Management
IHM Aurangabad Entrance,IHM Aurangabad,Undergraduate,Feb–May,https://ihmaurangabad.ac.in,https://ihmaurangabad.ac.in,Hotel management program entrance,Hotel Management
AIIMS BSc Nursing,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Nursing entrance exam,Nursing
AIIMS Paramedical,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Paramedical entrance exam,Paramedical
JIPMER Nursing,JIPMER,Undergraduate,Feb–Jun,https://jipmer.edu.in,https://jipmer.edu.in,Nursing entrance exam,Nursing
ISI Admission Test,Indian Statistical Institute,Undergraduate,Feb–May,https://isical.ac.in,https://isical.ac.in,Statistics and mathematics programs,Mathematics / Statistics
CMI Entrance Exam,Chennai Mathematical Institute,Undergraduate,Apr–Jun,https://cmi.ac.in,https://cmi.ac.in,Mathematics and computer science programs,Mathematics / Computer Science
IMU CET,Indian Maritime University,Undergraduate,Mar–May,https://imu.edu.in,https://imu.edu.in,Entrance exam for marine engineering and nautical science,Maritime / Marine Engineering
NID B.Des,National Institute of Design,Undergraduate,Oct–Jan,https://nid.edu,https://nid.edu,Design entrance for B.Des programs,Design
NIFT B.Des,National Institute of Fashion Technology,Undergraduate,Dec–Feb,https://nift.ac.in,https://nift.ac.in,Fashion design entrance exam,Fashion & Design
CEED,IIT Bombay,Undergraduate,Oct–Jan,https://ceed.iitb.ac.in,https://ceed.iitb.ac.in,Design exam for IIT design programs,Design
UCEED,IIT Bombay,Undergraduate,Oct–Jan,https://uceed.iitb.ac.in,https://uceed.iitb.ac.in,Design entrance for IITs,Design
IISER Aptitude Test,IISER Council,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Science research programs,Science
NEST,NISER & CEBS,Undergraduate,Mar–Jun,https://nestexam.in,https://nestexam.in,Entrance for basic science programs,Science
KVPY (historical),IISc / Govt of India,Undergraduate,Oct–Jan,https://kvpy.iisc.ac.in,https://kvpy.iisc.ac.in,Scholarship exam for science students,Science
ISI Admission Test,Indian Statistical Institute,Undergraduate,Feb–May,https://isical.ac.in,https://isical.ac.in,Admission to statistics programs,Mathematics / Statistics
CMI Entrance Exam,Chennai Mathematical Institute,Undergraduate,Apr–Jun,https://cmi.ac.in,https://cmi.ac.in,Mathematics and computer science programs,Mathematics / Computer Science
IAT,IISER Admission Test,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Admission to IISER institutions,Science
JNU Entrance (via CUET),NTA,Undergraduate,Apr–Jun,https://cuet.samarth.ac.in,https://cuet.samarth.ac.in,Admission to JNU undergraduate programs,General / Multiple Courses
BHU Entrance (via CUET),NTA,Undergraduate,Apr–Jun,https://cuet.samarth.ac.in,https://cuet.samarth.ac.in,Admission to BHU undergraduate courses,General / Multiple Courses
AIIMS BSc Paramedical,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Paramedical programs in AIIMS,Paramedical
AIIMS BSc Nursing,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Nursing entrance exam,Nursing
ICAR AIEEA,NTA,Undergraduate,Apr–Jun,https://icar.nta.nic.in,https://icar.nta.nic.in,Agriculture entrance exam,Agriculture
NCHM JEE,NTA,Undergraduate,Feb–May,https://nchmjee.nta.nic.in,https://nchmjee.nta.nic.in,Hotel management programs,Hotel Management
IAT (IISER Admission Test),IISER Council,Undergraduate,Apr–Jun,https://iiseradmission.in,https://iiseradmission.in,Entrance exam for BS-MS programs at IISER institutes,Science
NEST,NISER & CEBS,Undergraduate,Mar–Jun,https://nestexam.in,https://nestexam.in,Admission to National Institute of Science Education and Research,Science
ISI Admission Test,Indian Statistical Institute,Undergraduate,Feb–May,https://isical.ac.in,https://isical.ac.in,Entrance exam for B.Stat and B.Math,Mathematics / Statistics
CMI Entrance Exam,Chennai Mathematical Institute,Undergraduate,Apr–Jun,https://cmi.ac.in,https://cmi.ac.in,Mathematics and Computer Science programs,Mathematics / Computer Science
IMU CET,Indian Maritime University,Undergraduate,Mar–May,https://imu.edu.in,https://imu.edu.in,Marine engineering and nautical science entrance,Maritime / Marine Engineering
ICAR AIEEA UG,National Testing Agency,Undergraduate,Apr–Jun,https://icar.nta.nic.in,https://icar.nta.nic.in,Entrance for agriculture universities,Agriculture
NCHM JEE,National Testing Agency,Undergraduate,Feb–May,https://nchmjee.nta.nic.in,https://nchmjee.nta.nic.in,Hotel management programs,Hotel Management
AIIMS BSc Nursing,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Nursing admission exam,Nursing
AIIMS Paramedical,AIIMS,Undergraduate,Feb–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Paramedical programs,Paramedical
JIPMER Nursing,JIPMER,Undergraduate,Feb–Jun,https://jipmer.edu.in,https://jipmer.edu.in,Nursing programs,Nursing
UCEED,IIT Bombay,Undergraduate,Oct–Jan,https://uceed.iitb.ac.in,https://uceed.iitb.ac.in,Design entrance exam,Design
NID DAT,National Institute of Design,Undergraduate,Oct–Jan,https://nid.edu,https://nid.edu,Design programs entrance,Design
NIFT Entrance Exam,NIFT,Undergraduate,Dec–Feb,https://nift.ac.in,https://nift.ac.in,Fashion design programs,Fashion & Design
CUET UG,National Testing Agency,Undergraduate,Feb–May,https://cuet.samarth.ac.in,https://cuet.samarth.ac.in,Common entrance exam for central universities,General / Multiple Courses
JEE Main,National Testing Agency,Undergraduate,Jan & Apr,https://jeemain.nta.nic.in,https://jeemain.nta.nic.in,Engineering entrance exam,Engineering
JEE Advanced,IIT Council,Undergraduate,May–Jun,https://jeeadv.ac.in,https://jeeadv.ac.in,IIT admissions,Engineering
NEET UG,National Testing Agency,Undergraduate,Feb–May,https://neet.nta.nic.in,https://neet.nta.nic.in,Medical entrance exam,Medical
NATA,Council of Architecture,Undergraduate,Apr–Jul,https://nata.in,https://nata.in,Architecture programs,Architecture
CLAT,Consortium of NLUs,Undergraduate,Aug–Dec,https://consortiumofnlus.ac.in,https://consortiumofnlus.ac.in,National law entrance,Law
AILET,NLU Delhi,Undergraduate,Aug–Dec,https://nationallawuniversitydelhi.in,https://nationallawuniversitydelhi.in,Law entrance for NLU Delhi,Law
NTSE (National Talent Search Examination)*,NCERT,National,Nov – Dec,https://ncert.nic.in,https://ncert.nic.in,National scholarship exam for Class 10 students to support higher studies. (Currently paused but historically important),Scholarship / Academic
AISSEE (All India Sainik Schools Entrance Examination),National Testing Agency (NTA),National,January,https://exams.nta.ac.in/AISSEE,https://aissee.nta.nic.in,Entrance exam for admission to Class 11 in Sainik Schools across India after completing Class 10.,School Education
JNVST Class 11 Lateral Entry,Navodaya Vidyalaya Samiti (Ministry of Education),National,May – June,https://navodaya.gov.in,https://navodaya.gov.in,Entrance test for Class 11 admission into Jawahar Navodaya Vidyalayas for students who completed Class 10.,School Education
NTSE (National Talent Search Examination)*,NCERT (Ministry of Education),National,Nov – Dec,https://ncert.nic.in,https://ncert.nic.in,National scholarship exam for talented Class 10 students to support higher studies. (Currently suspended since 2021),Scholarship / Academic
Tamil Nadu Polytechnic Admission (Diploma),"Directorate of Technical Education (DoTE), Tamil Nadu",State,May – June,https://www.tnpoly.in,https://dte.tn.gov.in,Admission to diploma courses in government and private polytechnic colleges after 10th. Selection is based on 10th marks (no entrance exam).,Polytechnic / Diploma
Tamil Nadu ITI Admission,"Directorate of Employment and Training (DET), Tamil Nadu",State,May – July,https://skilltraining.tn.gov.in,https://skilltraining.tn.gov.in,"Admission to Industrial Training Institutes (ITI) for technical trades after 10th. Selection based on marks, no entrance exam.",ITI / Skill Training
Tamil Nadu Govt College Diploma / Certificate Admission,Tamil Nadu Higher Education Department,State,May – June,Varies by college,https://www.tn.gov.in,Some government colleges offer vocational or certificate programs after 10th. Admissions are merit based.,Diploma
FIITJEE Talent Reward Exam (FTRE),FIITJEE,National,Dec,https://www.fiitjee.com,Scholarship & admission test for students after Class 10 to join coaching programs for IIT-JEE preparation.,,Scholarship / Coaching
Allen Scholarship Admission Test (ASAT),ALLEN Career Institute,National,Multiple sessions,https://www.allen.ac.in,Scholarship exam for admission to coaching programs for engineering and medical entrance preparation.,,Scholarship / Coaching
Resonance National Admission Test (RNAT),Resonance Eduventures,National,Multiple sessions,https://www.resonance.ac.in,Scholarship and admission exam for coaching courses after 10th.,,Scholarship / Coaching
Aakash National Talent Hunt Exam (ANTHE),Aakash Institute,National,Oct,https://www.aakash.ac.in,Scholarship test for admission to coaching programs for NEET/JEE preparation.,,Scholarship / Coaching
BITSAT,BITS Pilani,National,https://www.bitsadmission.com,Entrance exam for admission to BITS campuses for engineering and science programs.,,,Engineering
VITEEE,Vellore Institute of Technology,National,https://viteee.vit.ac.in,Entrance exam for B.Tech admission in VIT campuses.,,,Engineering
SRMJEEE,SRM Institute of Science & Technology,National,https://applications.srmist.edu.in,Entrance exam for engineering programs in SRM universities.,,,Engineering
MET (Manipal Entrance Test),Manipal Academy of Higher Education,National,https://manipal.edu,Entrance exam for engineering and other programs.,,,Engineering
LPUNEST,Lovely Professional University,National,https://nest.lpu.in,Entrance exam for admission and scholarships in LPU programs.,,,Engineering
KIITEE,KIIT University,National,https://kiitee.kiit.ac.in,"Entrance exam for engineering, law, and other programs.",,,Engineering
SET,Symbiosis International University,National,https://set-test.org,Entrance exam for undergraduate programs in Symbiosis colleges.,,,Management / Business
NMIMS NPAT,NMIMS University,National,https://npat.nmims.edu,"Entrance exam for BBA, B.Com, and other undergraduate programs.",,,Management / Business
MHT CET,Maharashtra CET Cell,Maharashtra,https://cetcell.mahacet.org,Engineering & pharmacy entrance exam.,,,Engineering / Pharmacy
KCET,Karnataka Examination Authority,Karnataka,https://kea.kar.nic.in,"Engineering, pharmacy, agriculture admission exam.",,,Engineering / Agriculture
WBJEE,West Bengal Joint Entrance Board,West Bengal,https://wbjeeb.nic.in,Engineering and technology admission.,,,Engineering
KEAM,CEE Kerala,Kerala,https://cee.kerala.gov.in,"Engineering, pharmacy admission exam.",,,Engineering
AP EAMCET,APSCHE,Andhra Pradesh,https://cets.apsche.ap.gov.in,Engineering and agriculture admission exam.,,,Engineering / Agriculture
TS EAMCET,TSCHE,Telangana,https://eamcet.tsche.ac.in,Engineering and medical-related programs.,,,Engineering
GUJCET,Gujarat Secondary Board,Gujarat,https://gseb.org,Engineering and pharmacy admission.,,,Engineering / Pharmacy
OJEE,Odisha Joint Entrance Board,Odisha,https://ojee.nic.in,"Engineering, management and other courses.",,,Engineering / Management
NMMS (National Means-cum-Merit Scholarship),"Ministry of Education, Govt of India",Class 8,Aug – Nov,https://scholarships.gov.in,https://scholarships.gov.in,National scholarship exam for economically weaker students studying in Class 8 to support studies till Class 12,Scholarship / Academic
NSTSE (National Level Science Talent Search Examination),Unified Council,Class 2–10,Dec,https://unifiedcouncil.com,https://unifiedcouncil.com,National level diagnostic exam to assess strengths and weaknesses in science and mathematics,Science
NSO (National Science Olympiad),Science Olympiad Foundation (SOF),Class 1–12,Nov – Dec,https://sofworld.org,https://sofworld.org,International science olympiad to test scientific knowledge and analytical ability,Science
IMO (International Mathematics Olympiad),Science Olympiad Foundation,Class 1–12,Oct – Nov,https://sofworld.org,https://sofworld.org,Mathematics competition for school students to improve logical and mathematical thinking,Mathematics
IEO (International English Olympiad),Science Olympiad Foundation,Class 1–12,Oct – Nov,https://sofworld.org,https://sofworld.org,"English language olympiad to test grammar, vocabulary and comprehension skills",English
IGKO (International General Knowledge Olympiad),Science Olympiad Foundation,Class 1–10,Sep – Oct,https://sofworld.org,https://sofworld.org,Tests general awareness and current affairs knowledge,General Knowledge
SilverZone Olympiads,SilverZone Foundation,Class 1–12,Oct – Dec,https://silverzone.org,https://silverzone.org,"Conducts olympiads in mathematics, science, English, computer and reasoning",Olympiad
IJSO (Indian Junior Science Olympiad – via NSEJS),IAPT,Class 9–10,Nov,https://iapt.org.in,https://iapt.org.in,"Science olympiad for students interested in physics, chemistry and biology",Science
PRMO (Pre-Regional Mathematical Olympiad),Homi Bhabha Centre for Science Education,Class 8–11,Aug,https://hbcse.tifr.res.in,https://hbcse.tifr.res.in,First stage of Indian Mathematical Olympiad program,Mathematics
Homi Bhabha Balvaidnyanik Competition,Homi Bhabha Centre for Science Education,Class 6 & 9,Aug – Sep,https://msta.in,https://msta.in,Maharashtra based science talent competition encouraging scientific thinking,Science
NTSE Stage 1 (Class 10 but preparation starts earlier),NCERT,Class 10,Nov,https://ncert.nic.in,https://ncert.nic.in,National talent scholarship exam identifying talented students,Scholarship
FIITJEE Talent Reward Exam (FTRE),FIITJEE,Class 5–10,Dec,https://fiitjee.com,https://fiitjee.com,Scholarship exam for coaching programs preparing for engineering entrance exams,Scholarship / Coaching
Aakash National Talent Hunt Exam (ANTHE),Aakash Institute,Class 7–12,Oct,https://aakash.ac.in,https://aakash.ac.in,Scholarship exam providing coaching benefits and fee waivers,Scholarship / Coaching
CUET PG,National Testing Agency,Postgraduate,Mar–Jun,https://pgcuet.samarth.ac.in,https://pgcuet.samarth.ac.in,Entrance exam for postgraduate courses in central universities,General / Multiple Courses
IHM Joint Entrance for Craft Courses,National Council for Hotel Management,Undergraduate,Apr–Jun,https://nchm.nic.in,https://nchm.nic.in,Admission to diploma and craft courses in hospitality institutes,Hotel Management
AIIMS BSc Post Basic Nursing,AIIMS,Undergraduate,Apr–Jun,https://aiimsexams.ac.in,https://aiimsexams.ac.in,Nursing admission for diploma holders,Nursing
IIFT Entrance Exam,National Testing Agency,Undergraduate/Postgraduate,Oct–Dec,https://iift.nta.nic.in,https://iift.nta.nic.in,Admission to Indian Institute of Foreign Trade programs,Management
AMUEEE,Aligarh Muslim University,Undergraduate,Mar–May,https://amu.ac.in,https://amu.ac.in,Engineering entrance exam for AMU,Engineering
AMU BA LLB Entrance,Aligarh Muslim University,Undergraduate,Mar–May,https://amu.ac.in,https://amu.ac.in,Law entrance exam for AMU,Law
Christ University Entrance Test,Christ University,Undergraduate,Mar–May,https://christuniversity.in,https://christuniversity.in,"Entrance test for BBA, BCom and other UG programs",Management / Business
Ashoka University Aptitude Assessment,Ashoka University,Undergraduate,Nov–Apr,https://ashoka.edu.in,https://ashoka.edu.in,Liberal arts university admission assessment,Liberal Arts
Plaksha University Admission Test,Plaksha University,Undergraduate,Jan–Apr,https://plaksha.edu.in,https://plaksha.edu.in,Engineering and technology programs admission,Engineering
BCECE,Bihar Combined Entrance Competitive Examination Board,Undergraduate,Apr–Jun,https://bceceboard.bihar.gov.in,https://bceceboard.bihar.gov.in,Entrance exam for engineering and agriculture colleges in Bihar,Engineering / Agriculture
JCECE,Jharkhand Combined Entrance Competitive Examination Board,Undergraduate,Apr–Jun,https://jceceb.jharkhand.gov.in,https://jceceb.jharkhand.gov.in,Entrance exam for engineering and agriculture programs in Jharkhand,Engineering
CG PET,Chhattisgarh Professional Examination Board,Undergraduate,Apr–May,https://vyapam.cgstate.gov.in,https://vyapam.cgstate.gov.in,Engineering entrance exam for Chhattisgarh colleges,Engineering
HP CET,Himachal Pradesh Technical University,Undergraduate,Apr–May,https://himtu.ac.in,https://himtu.ac.in,Engineering entrance exam for Himachal Pradesh colleges,Engineering
VVM (Vidyarthi Vigyan Manthan),Vigyan Prasar & NCERT,Class 6–11,Aug–Oct,https://vvm.org.in,https://vvm.org.in,National science talent search encouraging interest in science,Science
Green Olympiad,TERI,Class 4–12,Aug–Oct,https://teri.res.in,https://teri.res.in,Environmental awareness olympiad,Environment
GeoGenius Geography Olympiad,GeoGenius India,Class 2–12,Aug–Oct,https://geogeniusindia.org,https://geogeniusindia.org,Geography knowledge competition,Geography
NCHM MSc JEE,National Testing Agency,Postgraduate,Feb–May,https://nchmjee.nta.nic.in,https://nchmjee.nta.nic.in,Entrance exam for MSc programs in hospitality institutes,Hotel Management
ICAR AICE JRF/SRF,National Testing Agency,Postgraduate,Apr–Jun,https://icar.nta.nic.in,https://icar.nta.nic.in,Agriculture postgraduate entrance exam for ICAR universities,Agriculture
TISS BAT,Tata Institute of Social Sciences,Undergraduate,Apr–Jun,https://tiss.edu,https://tiss.edu,Entrance exam for undergraduate programs in social sciences,Social Sciences
IIAD Entrance Test,Indian Institute of Art and Design,Undergraduate,Jan–May,https://iiad.edu.in,https://iiad.edu.in,Design entrance exam for IIAD programs,Design
Pearl Academy Entrance Exam,Pearl Academy,Undergraduate,Jan–Apr,https://pearlacademy.com,https://pearlacademy.com,"Entrance exam for fashion, design and media programs",Design / Fashion
MIT-WPU Entrance Test,MIT World Peace University,Undergraduate,Mar–May,https://mitwpu.edu.in,https://mitwpu.edu.in,"Entrance test for engineering, management and design programs",Engineering / Management
UPSEE (now CUET based for many programs),Dr. A.P.J. Abdul Kalam Technical University,Undergraduate,Apr–Jun,https://aktu.ac.in,https://aktu.ac.in,Earlier engineering entrance exam for Uttar Pradesh colleges,Engineering
JEECUP (UP Polytechnic Entrance),Joint Entrance Examination Council Uttar Pradesh,Diploma,Mar–May,https://jeecup.admissions.nic.in,https://jeecup.admissions.nic.in,Entrance exam for polytechnic diploma courses in UP,Polytechnic / Diploma
Delhi CET,"Department of Training & Technical Education, Delhi",Diploma,Apr–Jun,https://cetdelhi.nic.in,https://cetdelhi.nic.in,Entrance exam for polytechnic diploma courses in Delhi,Polytechnic / Diploma
AP POLYCET,State Board of Technical Education & Training AP,Diploma,Apr–May,https://polycetap.nic.in,https://polycetap.nic.in,Polytechnic entrance exam for Andhra Pradesh,Polytechnic / Diploma
TS POLYCET,State Board of Technical Education Telangana,Diploma,Apr–May,https://polycetts.nic.in,https://polycetts.nic.in,Polytechnic entrance exam for Telangana,Polytechnic / Diploma
BCECE LE,BCECE Board,Undergraduate,Apr–Jun,https://bceceboard.bihar.gov.in,https://bceceboard.bihar.gov.in,Lateral entry entrance exam for engineering diploma holders,Engineering
NIPER JEE,National Institute of Pharmaceutical Education & Research,Postgraduate,Apr–Jun,https://niper.gov.in,https://niper.gov.in,Entrance exam for pharmaceutical science programs,Pharmacy
GPAT,National Testing Agency,Postgraduate,Apr–May,https://gpat.nta.nic.in,https://gpat.nta.nic.in,Entrance exam for M.Pharm programs,Pharmacy
CMAT,National Testing Agency,Postgraduate,Jan–Mar,https://cmat.nta.nic.in,https://cmat.nta.nic.in,National management entrance exam,Management
GATE,IITs / IISc,Postgraduate,Feb,https://gate.iitk.ac.in,https://gate.iitk.ac.in,Engineering entrance exam for M.Tech and PSU recruitment,Engineering
JAM,IITs,Postgraduate,Feb,https://jam.iitg.ac.in,https://jam.iitg.ac.in,Entrance exam for MSc programs in IITs,Science
UKSEE,Uttarakhand Technical University,Undergraduate,Apr–Jun,https://uktech.ac.in,https://uktech.ac.in,Entrance exam for engineering colleges in Uttarakhand,Engineering
JKCET,Jammu & Kashmir Board of Professional Entrance,Undergraduate,Apr–May,https://jkbopee.gov.in,https://jkbopee.gov.in,Engineering entrance exam for Jammu & Kashmir colleges,Engineering
MP PEPT,Madhya Pradesh Professional Examination Board,Diploma,Apr–May,https://esb.mp.gov.in,https://esb.mp.gov.in,Polytechnic entrance exam for Madhya Pradesh,Polytechnic / Diploma
Assam CEE,Assam Science and Technology University,Undergraduate,Apr–May,https://astu.ac.in,https://astu.ac.in,Engineering entrance exam for Assam colleges,Engineering
IOQM (Indian Olympiad Qualifier in Mathematics),HBCSE / MTA,Class 8–12,Aug–Sep,https://mtai.org.in,https://mtai.org.in,First stage of Indian Mathematical Olympiad program,Mathematics
NSEJS,Indian Association of Physics Teachers,Class 9–10,Nov,https://iapt.org.in,https://iapt.org.in,National Standard Examination in Junior Science,Science
NSEP,IAPT,Class 11–12,Nov,https://iapt.org.in,https://iapt.org.in,Physics olympiad selection exam,Physics
NSEC,IAPT,Class 11–12,Nov,https://iapt.org.in,https://iapt.org.in,Chemistry olympiad selection exam,Chemistry
NSEA,IAPT,Class 11–12,Nov,https://iapt.org.in,https://iapt.org.in,Astronomy olympiad selection exam,Astronomy
Shiv Nadar University Entrance Test (SNUET),Shiv Nadar University,Undergraduate,Mar–May,https://snu.edu.in,https://snu.edu.in,Entrance test for engineering and liberal arts programs,Engineering / Liberal Arts
Bennett University Entrance Test (BUET),Bennett University,Undergraduate,Mar–May,https://bennett.edu.in,https://bennett.edu.in,"Entrance test for engineering, management and media programs",Engineering / Management
FLAME Entrance Aptitude Test (FEAT),FLAME University,Undergraduate,Jan–Apr,https://flame.edu.in,https://flame.edu.in,Entrance test for liberal education programs,Liberal Arts
AEEE (Amrita Entrance Examination – Engineering),Amrita Vishwa Vidyapeetham,Undergraduate,Apr–May,https://amrita.edu,https://amrita.edu,Entrance exam for B.Tech programs at Amrita University,Engineering
SAAT (Siksha 'O' Anusandhan Admission Test),SOA University,Undergraduate,Apr–Jun,https://soa.ac.in,https://soa.ac.in,Entrance exam for engineering and other UG programs,Engineering
UPESEAT,UPES Dehradun,Undergraduate,Mar–May,https://upes.ac.in,https://upes.ac.in,Entrance exam for engineering programs at UPES,Engineering
SRMJEEM,SRM Institute of Science & Technology,Postgraduate,Mar–May,https://srmist.edu.in,https://srmist.edu.in,Management entrance exam for SRM MBA programs,Management
IBSAT,ICFAI Business School,Postgraduate,Oct–Dec,https://ibsindia.org,https://ibsindia.org,MBA entrance exam for IBS campuses,Management
XAT,XLRI Jamshedpur,Postgraduate,Jan,https://xatonline.in,https://xatonline.in,National level management entrance exam,Management
SNAP,Symbiosis International University,Postgraduate,Dec,https://snaptest.org,https://snaptest.org,Entrance exam for MBA programs at Symbiosis institutes,Management
MAT,All India Management Association,Postgraduate,Feb / May / Sep / Dec,https://mat.aima.in,https://mat.aima.in,Management entrance exam for MBA colleges,Management
ATMA,Association of Indian Management Schools,Postgraduate,Multiple sessions,https://atmaaims.com,https://atmaaims.com,MBA entrance exam accepted by many business schools,Management
JEST,Science & Engineering Research Board,Postgraduate,Mar–Apr,https://jest.org.in,https://jest.org.in,Entrance exam for physics and theoretical computer science programs,Science
TIFR GS,Tata Institute of Fundamental Research,Postgraduate,Dec–Jan,https://tifr.res.in,https://tifr.res.in,Entrance exam for graduate programs in basic sciences,Science
PESAT,PES University,Undergraduate,Apr–May,https://pes.edu,https://pes.edu,Engineering entrance exam for PES University,Engineering
REVA CET,REVA University,Undergraduate,Apr–May,https://reva.edu.in,https://reva.edu.in,Entrance exam for engineering and management programs,Engineering
IACS Admission Test,Indian Association for the Cultivation of Science,Postgraduate,Apr–Jun,https://iacs.res.in,https://iacs.res.in,Entrance exam for research programs in science,Science
HBNI Entrance Test,Homi Bhabha National Institute,Postgraduate,Apr–Jun,https://hbni.ac.in,https://hbni.ac.in,Entrance exam for nuclear science research programs,Nuclear Science